00:01:19.600,00:01:21.840,00:03:32.720,00:07:12.440,00:07:13.360,00:08:32.880,00:09:08.080,00:11:54.640,00:12:46.720
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,1990,00:01:19.600,79.6,2.240000000000009
2,2046,00:01:21.840,81.84,130.88
3,5318,00:03:32.720,212.72,219.72
4,10811,00:07:12.440,432.44,0.9200000000000159
5,10834,00:07:13.360,433.36,79.51999999999998
6,12822,00:08:32.880,512.88,35.200000000000045
7,13702,00:09:08.080,548.08,166.55999999999995
8,17866,00:11:54.640,714.64,52.08000000000004
9,19168,00:12:46.720,766.72,0.03999999999996362
